YYMM;YY;MM;Regions;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Production;Renouvelable;Balance
1401;14;1;BFC;4318017;180216;0;76799;11002;266880;-10;27410;562297;382081;-3755720
1401;14;1;CVDL;4056152;109579;16021794;428428;11028;46007;0;75195;16692031;560658;12635879
1401;14;1;GE;9176952;1473126;16129282;1070816;26283;1420758;-208840;123053;20034478;2432070;10857526
1401;14;1;HF;10444971;994197;8007157;1049806;5843;2968;0;142358;10202329;1200975;-242642
1401;14;1;IDF;15258335;671478;0;10895;3097;3641;0;230228;919339;247861;-14338996
1401;14;1;N;5732396;799561;14697103;313095;5752;32035;0;91564;15939110;442446;10206714
1401;14;1;NlleA;9002626;155772;7739711;197796;62129;1040391;0;182993;9378792;1483309;376166
1401;14;1;O;7640007;93260;3581356;379179;80661;2753701;-427843;127938;6588252;2913636;-1051755
1401;14;1;PACA;8641517;573479;0;16460;69075;1975801;-11714;99832;2722933;2149454;-5918584
1401;14;1;PDL;5749177;752033;0;288184;19178;5367;0;60527;1125289;373256;-4623888
1402;14;2;AURA;11942791;249198;16208112;160443;53337;5811853;-742387;151459;21892015;5434705;9949224
1402;14;2;B;4329333;108655;0;437819;16469;98144;-7875;41790;695002;586347;-3634331
1402;14;2;BFC;3882096;132564;0;101986;16289;166434;-23;25569;442819;310255;-3439277
1402;14;2;CVDL;3653607;102905;13898036;544385;19446;56944;0;65986;14687702;686761;11034095
1402;14;2;GE;8317101;1584569;14716662;1219855;36723;1250711;-215065;113828;18707283;2406052;10390182
1402;14;2;HF;9343859;851514;6686554;1124912;10314;2684;0;127798;8803776;1265708;-540083
1402;14;2;IDF;13530928;378125;0;13026;5868;1457;0;222673;621149;243024;-12909779
1402;14;2;N;5192682;804745;10337523;332869;11160;30349;0;90253;11606899;464631;6414217
1402;14;2;NlleA;8366058;175530;7616884;257008;96312;1189986;0;186797;9522517;1730103;1156459
1402;14;2;O;6908445;86033;3276999;396010;124001;3316062;-396469;114483;6917119;3554087;8674
1402;14;2;PACA;7851725;422583;0;16535;88200;2026330;-4158;79323;2628813;2206230;-5222912
1402;14;2;PDL;5237574;280836;0;359581;34425;3973;0;55047;733862;453026;-4503712
1403;14;3;AURA;11869099;279807;15419848;141060;119070;5546448;-721850;163052;20947435;5247780;9078336
1403;14;3;B;4178341;122013;0;220648;30526;113635;-7441;50730;530111;408098;-3648230
1403;14;3;BFC;3784193;150604;0;50193;38082;160908;-17;31353;431123;280519;-3353070
1403;14;3;CVDL;3484823;97657;14314071;228533;40559;40400;0;76142;14797362;385634;11312539
1403;14;3;GE;8163374;1279899;14105128;534925;94706;1216559;-202761;125663;17154119;1769092;8990745
1403;14;3;HF;9218837;865599;6283767;518963;23814;2976;0;138241;7833360;683994;-1385477
1403;14;3;IDF;13055949;561384;0;5741;13134;8300;0;236378;824937;263553;-12231012
1403;14;3;N;5080480;806530;9282786;150222;20316;32312;0;90674;10382840;293524;5302360
1403;14;3;NlleA;7999830;184493;8578068;115202;186625;1101391;0;173929;10339708;1577147;2339878
1403;14;3;O;6608751;99100;3656139;442527;233119;3403098;-375221;134970;7593732;3838493;984981
1403;14;3;PACA;7411451;374016;0;17135;183360;2249293;-8500;97435;2912739;2538723;-4498712
1403;14;3;PDL;4991281;1028910;0;163380;66245;5882;0;57824;1322241;293331;-3669040
1404;14;4;AURA;10193933;50908;13297113;115436;130186;4560384;-600326;98826;17652527;4304506;7458594
1404;14;4;B;3487875;2269;0;206139;35472;77109;-4556;39253;355686;353417;-3132189
1404;14;4;BFC;3240256;39426;0;38407;41161;63242;-62;19440;201614;162188;-3038642
1404;14;4;CVDL;2958170;1067;12792414;181620;40840;13394;0;59303;13088638;295157;10130468
1404;14;4;GE;7019978;981848;10317023;412472;99901;1106903;-202145;79680;12795682;1496811;5775704
1404;14;4;HF;8037732;428963;3937297;372513;26731;2780;0;104337;4872621;506361;-3165111
1404;14;4;IDF;10804521;156391;0;4035;13804;13732;0;214561;402523;246132;-10401998
1404;14;4;N;4332781;363372;10891014;107016;22570;30803;0;55154;11469929;215543;7137148
1404;14;4;NlleA;6466002;49067;8013555;117233;214711;750725;0;185540;9330831;1268209;2864829
1404;14;4;O;5312824;3968;3120412;378974;251451;2577215;-190355;97020;6238685;3114305;925861
1404;14;4;PACA;6150248;217434;0;19322;197924;2348528;-12539;94598;2865267;2647833;-3284981
1404;14;4;PDL;4191470;698922;0;156228;73948;4815;0;49354;983267;284345;-3208203
1405;14;5;AURA;9630215;43924;13338423;179511;146198;5035357;-762073;116366;18097706;4715359;8467491
1405;14;5;B;3130734;3309;0;208031;42767;97603;-9642;44697;386765;383456;-2743969
1405;14;5;BFC;3129698;43253;0;66214;46693;92253;0;24906;273319;230066;-2856379
1405;14;5;CVDL;2687660;1505;12377163;296874;45650;16129;0;64006;12801327;422659;10113667
1405;14;5;GE;6862698;546298;11424479;726486;117781;1628108;-193687;86372;14335837;2365060;7473139
1405;14;5;HF;7900488;355120;4782284;578029;29758;2953;0;129168;5877312;739908;-2023176
1405;14;5;IDF;10568871;95838;0;7005;16632;11598;0;216884;347957;252119;-10220914
1405;14;5;N;4068671;356704;12688077;166402;26233;33944;0;81203;13352563;307782;9283892
1405;14;5;NlleA;6194517;41909;7043050;143325;245696;764053;0;204372;8442405;1357446;2247888
1405;14;5;O;5038153;-6801;1713227;474251;295739;2393902;-476377;118347;4512288;2805862;-525865
1405;14;5;PACA;5920893;292723;0;23498;237603;2203045;-15354;85173;2826688;2533965;-3094205
1405;14;5;PDL;3836433;339622;0;186017;86020;5137;0;56630;673426;333804;-3163007
1406;14;6;AURA;9159952;30533;12601767;110249;172475;4362482;-567598;93839;16803747;4171447;7643795
1406;14;6;B;2851196;2213;0;154192;49258;87571;-9684;39220;322770;320557;-2528426
1406;14;6;BFC;2891138;23240;0;51690;54093;36464;-1;16882;182368;159128;-2708770
1406;14;6;CVDL;2458915;2929;11733017;204970;51360;6991;0;61612;12060879;324933;9601964
1406;14;6;GE;6524128;566204;11959058;497023;138837;1316644;-192123;74800;14360443;1835181;7836315
1406;14;6;HF;7317339;374575;4099209;295084;33200;1667;0;128947;4932682;458898;-2384657
1406;14;6;IDF;9636379;98044;0;4626;18792;7016;0;159530;288008;189964;-9348371
1406;14;6;N;3680729;313246;11940464;82106;31064;22926;0;77384;12467190;213480;8786461
1406;14;6;NlleA;5855691;37652;7958453;104887;289871;549351;0;203432;9143646;1147541;3287955
1406;14;6;O;4955587;-3749;1630444;280758;328333;2057922;-487285;81319;3887742;2261047;-1067845
1406;14;6;PACA;5827038;173250;0;10992;233876;1592470;-15908;68577;2063257;1890007;-3763781
1406;14;6;PDL;3615618;332684;0;123905;98523;2229;0;56568;613909;281225;-3001709
1407;14;7;AURA;9568842;51153;12752769;107582;136632;5739698;-692705;111324;18206453;5402531;8637611
1407;14;7;B;2996911;2971;0;131490;46503;94040;-10267;45694;310431;307460;-2686480
1407;14;7;BFC;2996270;22347;0;41948;40607;168643;0;28096;301641;279294;-2694629
1407;14;7;CVDL;2563116;3015;12301926;168378;46243;9596;0;66577;12595735;290794;10032619
1407;14;7;GE;6672484;238822;15073106;406537;109172;1924458;-232963;79847;17598979;2287051;10926495
1407;14;7;HF;7469821;396123;4768662;341071;28520;1600;0;131193;5667169;502384;-1802652
1407;14;7;IDF;9786914;7631;0;3947;15783;6947;0;207885;242193;234562;-9544721
1407;14;7;N;3798896;319847;13089805;94509;29528;20609;0;73444;13627742;218090;9828846
1407;14;7;NlleA;6236278;37412;6886978;77678;265065;482175;0;192333;7941641;1017251;1705363
1407;14;7;O;5162857;-1347;1854903;406584;298814;1824021;-395212;103348;4091111;2237555;-1071746
1407;14;7;PACA;6344259;190193;0;18342;243060;2069970;-16707;99094;2603952;2413759;-3740307
1407;14;7;PDL;3785736;266733;0;110440;91470;1711;0;60959;531313;264580;-3254423
1408;14;8;AURA;8528835;48487;12704838;76964;152541;4963265;-614247;118950;17450798;4697473;8921963
1408;14;8;B;2869703;933;0;152367;39012;94828;-9669;49449;326920;325987;-2542783
1408;14;8;BFC;2578711;22903;0;42664;43356;146446;-17;26475;281827;258924;-2296884
1408;14;8;CVDL;2326177;1513;10347224;177869;44512;10302;0;66319;10647739;299002;8321562
1408;14;8;GE;5883672;110092;14524595;452186;102111;1963701;-228060;82130;17006755;2372068;11123083
1408;14;8;HF;6773762;474411;5250998;482880;26235;2007;0;133383;6369914;644505;-403848
1408;14;8;IDF;8717103;3454;0;4188;15032;10322;0;190629;223625;220171;-8493478
1408;14;8;N;3582190;331933;12428241;130377;25971;27947;0;82686;13027155;266981;9444965
1408;14;8;NlleA;5773673;36041;4460774;74491;271641;319022;0;195528;5357497;860682;-416176
1408;14;8;O;4982038;-4274;2208861;232841;301116;1485770;-455051;100342;3869605;1665018;-1112433
