Regions;YYMM;YY;MM;Temperature;Vent;Humidite;Precipitations
BFC;1301;13;1;2.096774194;2.866935484;88.84677419;0.237903226
BFC;1302;13;2;0.660714286;3.888392857;82.69196429;0.178571429
BFC;1303;13;3;4.77016129;3.22983871;74.85887097;0.153225806
BFC;1304;13;4;10.09583333;3.508333333;69.24583333;0.441666667
BFC;1305;13;5;11.23790323;3.016129032;80.29032258;0.673387097
BFC;1306;13;6;17.1;3;70.89166667;0.325
BFC;1307;13;7;22.19354839;3.213709677;64.98790323;0.403225806
BFC;1308;13;8;19.74596774;2.782258065;65.81451613;0.197580645
BFC;1309;13;9;16.225;2.783333333;78.01666667;0.245833333
BFC;1310;13;10;13.21774194;2.89516129;83.70967742;0.427419355
BFC;1311;13;11;5.820833333;4.2375;82.59583333;0.3875
BFC;1312;13;12;2.77016129;2.516129032;88.58870968;0.173387097
BFC;1401;14;1;5.282258065;2.866935484;86.82258065;0.322580645
BFC;1402;14;2;5.620535714;3.700892857;82.49553571;0.383928571
BFC;1403;14;3;8.64516129;2.834677419;68.99193548;0.064516129
BFC;1404;14;4;12.07083333;3.075;67.46666667;0.0875
BFC;1405;14;5;14.01209677;4.084677419;68.59677419;0.100806452
BFC;1406;14;6;20.07083333;3.670833333;56.225;0.179166667
BFC;1407;14;7;19.69758065;2.975806452;72.90725806;0.399193548
BFC;1408;14;8;17.69758065;2.532258065;75.41129032;0.431451613
BFC;1409;14;9;17.1625;2.858333333;74.12916667;0.0625
BFC;1410;14;10;13.4233871;2.387096774;87.75806452;0.334677419
BFC;1411;14;11;8.241666667;2.195833333;94.37916667;0.691666667
BFC;1412;14;12;4.120967742;3.233870968;88.16129032;0.209677419
BFC;1501;15;1;3.133064516;3.439516129;89.24596774;0.177419355
BFC;1502;15;2;2.647321429;3.714285714;80.88392857;0.15625
BFC;1503;15;3;7.737903226;3.633064516;69.73790323;0.112903226
BFC;1504;15;4;11.60833333;3.195833333;63.95416667;0.191666667
BFC;1505;15;5;14.97580645;3.157258065;68.41532258;0.237903226
BFC;1506;15;6;20.0625;3.041666667;61.0125;0.158333333
BFC;1507;15;7;23.75403226;3.258064516;50.20967742;0.016129032
BFC;1508;15;8;21.14112903;2.572580645;65.48790323;0.282258065
BFC;1509;15;9;14.9125;3.616666667;70.43333333;0.266666667
BFC;1510;15;10;10.33064516;2.560483871;82.27822581;0.245967742
BFC;1511;15;11;7.8625;3.1;87.125;0.091666667
BFC;1512;15;12;6.024193548;2.064516129;92.25;0.080645161
BFC;1601;16;1;4.217741935;3.177419355;88.14112903;0.310483871
BFC;1602;16;2;5.288793103;4.581896552;81.57758621;0.25
BFC;1603;16;3;6.056451613;3.955645161;76.59274194;0.177419355
BFC;1604;16;4;9.579166667;2.820833333;78.42083333;0.495833333
BFC;1605;16;5;13.74596774;2.947580645;78.22177419;0.423387097
BFC;1606;16;6;18.07083333;2.55;78.21666667;0.325
BFC;1607;16;7;21.07258065;2.701612903;66.03225806;0.149193548
BFC;1608;16;8;20.95967742;2.459677419;64.83064516;0.129032258
BFC;1609;16;9;18.38333333;2.508333333;69.8625;0.170833333
BFC;1610;16;10;10.36693548;3.040322581;82.25403226;0.326612903
BFC;1611;16;11;6.608333333;3.320833333;85.48333333;0.3875
BFC;1612;16;12;1.120967742;1.866935484;91.375;0.024193548
BFC;1701;17;1;-0.608870968;3.169354839;81.96774194;0.084677419
BFC;1702;17;2;5.866071429;3.25;80.90178571;0.165178571
BFC;1703;17;3;9.572580645;3.475806452;74.25;0.177419355
BFC;1704;17;4;10.23333333;3.516666667;63.42083333;0.083333333
BFC;1705;17;5;15.33870968;2.677419355;73.625;0.306451613
BFC;1706;17;6;20.84583333;3.125;65.2;0.283333333
BFC;1707;17;7;21.50403226;3.209677419;66.33870968;0.254032258
BFC;1708;17;8;21.25403226;2.616935484;63.59677419;0.141129032
BFC;1709;17;9;14.52083333;2.654166667;76.74583333;0.229166667
BFC;1710;17;10;11.88306452;2.491935484;82.78629032;0.036290323
BFC;1711;17;11;5.7375;3.320833333;86.525;0.241666667
BFC;1712;17;12;3.677419355;3.584677419;88.38709677;0.358870968
BFC;1801;18;1;6.673387097;4.02016129;88.37096774;0.483870968
BFC;1802;18;2;1.080357143;3.633928571;77.71428571;0.169642857
BFC;1803;18;3;5.616935484;3.153225806;83.85483871;0.556451613
BFC;1804;18;4;13.125;2.970833333;70.59166667;0.158333333
BFC;1805;18;5;16.29435484;2.758064516;74.46370968;0.322580645
BFC;1806;18;6;19.9;3.129166667;68.525;0.304166667
BFC;1807;18;7;23.41532258;2.915322581;57.62903226;0.274193548
BFC;1808;18;8;22.25806452;3.209677419;59.89919355;0.080645161
BFC;1809;18;9;17.79166667;3.045833333;62.45416667;0.045833333
BFC;1810;18;10;12.5483871;3.286290323;75.45967742;0.149193548
BFC;1811;18;11;7.175;2.583333333;90.7;0.233333333
BFC;1812;18;12;5.27016129;3.540322581;90.35483871;0.326612903
BFC;1901;19;1;2.310483871;3.366935484;85.1733871;0.116935484
BFC;1902;19;2;5.330357143;2.915178571;76.33928571;0.044642857
BFC;1903;19;3;8.524193548;4.548387097;69.56854839;0.10483871
BFC;1904;19;4;10.425;3.1;72.29583333;0.325
BFC;1905;19;5;12.88709677;3.39516129;69.53225806;0.108870968
BFC;1906;19;6;20.15416667;2.795833333;67.24166667;0.1
BFC;1907;19;7;23.25403226;3.431451613;51.92741935;0.133064516
BFC;1908;19;8;21.4516129;2.596774194;62.30645161;0.209677419
BFC;1909;19;9;17.30833333;3.504166667;63.04166667;0.1125
BFC;1910;19;10;13.18951613;3.141129032;86.15322581;0.383064516
BFC;1911;19;11;6.483333333;2.9125;90.17916667;0.229166667
BFC;1912;19;12;5.649193548;3.717741935;87.35887097;0.342741935
BFC;2001;20;1;4.040322581;3.088709677;89.23790323;0.108870968
BFC;2002;20;2;7.375;4.926724138;77.93534483;0.280172414
BFC;2003;20;3;7.693548387;3.806451613;72.52419355;0.173387097
BFC;2004;20;4;13.56666667;2.829166667;61.14583333;0.066666667
BFC;2005;20;5;15.72580645;3.681451613;70.67741935;0.076612903
BFC;2006;20;6;18.28333333;2.9625;74.7125;0.179166667
BFC;2007;20;7;22.53225806;3.290322581;51.72580645;0.048387097
BFC;2008;20;8;22.8266129;2.995967742;57.76209677;0.177419355
BFC;2009;20;9;18.27083333;2.920833333;67.2875;0.25
BFC;2010;20;10;11.02822581;3.862903226;88.30645161;0.560483871
BFC;2011;20;11;7.1;2.404166667;91.45;0.066666667
BFC;2012;20;12;4.616935484;3.330645161;89.21370968;0.334677419
BFC;2101;21;1;2.939516129;3.899193548;85.8266129;0.225806452
BFC;2102;21;2;5.723214286;3.616071429;77.53125;0.120535714
BFC;2103;21;3;6.89516129;3.451612903;68.05645161;0.096774194
BFC;2104;21;4;9.2875;4.041666667;57.49583333;0.070833333
BFC;2105;21;5;12.04435484;3.600806452;71.39919355;0.411290323
BFC;2106;21;6;19.89583333;2.729166667;71.54583333;0.170833333
BFC;2107;21;7;19.39516129;2.919354839;72.14112903;0.366935484
BFC;2108;21;8;18.87096774;2.89516129;72.80241935;0.153225806
BFC;2109;21;9;17.55;2.495833333;74.1625;0.195833333
BFC;2110;21;10;10.97580645;3.024193548;79.67741935;0.262096774
CVDL;1301;13;1;4.165322581;3.177419355;89.77822581;0.387096774
CVDL;1302;13;2;2.959821429;3.65625;85.10714286;0.392857143
CVDL;1303;13;3;6.10483871;3.5;75.88306452;0.383064516
CVDL;1304;13;4;10.26666667;3.333333333;70.4;0.475
CVDL;1305;13;5;11.98790323;3.149193548;77.78629032;0.717741935
CVDL;1306;13;6;16.80833333;2.979166667;72.125;0.308333333
CVDL;1307;13;7;22.41935484;3.064516129;63.85483871;0.278225806
CVDL;1308;13;8;19.87903226;2.657258065;63.39919355;0.201612903
CVDL;1309;13;9;16.92083333;2.833333333;74.54166667;0.483333333
CVDL;1310;13;10;14.05241935;3.10483871;84.53629032;0.721774194
CVDL;1311;13;11;7.133333333;3.666666667;84.1875;0.6125
CVDL;1312;13;12;5.177419355;3.495967742;83.47580645;0.262096774
CVDL;1401;14;1;6.963709677;3.661290323;85.63306452;0.407258065
CVDL;1402;14;2;7.357142857;4.866071429;79.29910714;0.607142857
CVDL;1403;14;3;9.141129032;2.951612903;68.90725806;0.205645161
CVDL;1404;14;4;12.14166667;3.0125;69.87083333;0.3375
CVDL;1405;14;5;13.50403226;3.576612903;73.48790323;0.528225806
CVDL;1406;14;6;18.68333333;3.1;65.30833333;0.333333333
CVDL;1407;14;7;20.13709677;2.741935484;73.83467742;0.709677419
CVDL;1408;14;8;17.89112903;2.669354839;73.91129032;0.649193548
CVDL;1409;14;9;17.89583333;2.554166667;72.44166667;0.125
CVDL;1410;14;10;14.31048387;2.560483871;83.31854839;0.633064516
CVDL;1411;14;11;10.20416667;3.091666667;87.3625;0.520833333
CVDL;1412;14;12;5.326612903;3.072580645;88.02822581;0.213709677
CVDL;1501;15;1;4.612903226;3.447580645;88.57258065;0.415322581
CVDL;1502;15;2;3.924107143;3.334821429;80.67857143;0.267857143
CVDL;1503;15;3;8.205645161;3.245967742;75.23387097;0.314516129
CVDL;1504;15;4;12.42916667;3.254166667;64.93333333;0.2375
CVDL;1505;15;5;14.72177419;3.108870968;72.09274194;0.439516129
CVDL;1506;15;6;19.25;2.8;63.0625;0.454166667
CVDL;1507;15;7;21.56854839;3.112903226;58.69354839;0.092741935
CVDL;1508;15;8;20.94354839;2.721774194;62.9233871;0.443548387
CVDL;1509;15;9;14.74583333;3.241666667;71.72916667;0.645833333
CVDL;1510;15;10;11.25;2.943548387;80.94354839;0.27016129
CVDL;1511;15;11;10.49583333;3.3125;85.11666667;0.291666667
CVDL;1512;15;12;8.108870968;2.592741935;86.20967742;0.157258065
CVDL;1601;16;1;5.673387097;3.814516129;87.14919355;0.669354839
CVDL;1602;16;2;6.125;4.353448276;81.40086207;0.534482759
CVDL;1603;16;3;6.786290323;3.713709677;74.96774194;0.528225806
CVDL;1604;16;4;9.420833333;2.783333333;74.79583333;0.416666667
CVDL;1605;16;5;13.73790323;3.100806452;74.75806452;0.846774194
CVDL;1606;16;6;17.09583333;2.770833333;79.03333333;0.5125
CVDL;1607;16;7;20.35887097;2.620967742;63.34677419;0.032258065
CVDL;1608;16;8;21.22580645;2.5;58.40322581;0.048387097
CVDL;1609;16;9;18.49583333;2.1875;64.8;0.133333333
CVDL;1610;16;10;10.95564516;2.762096774;78.17741935;0.173387097
CVDL;1611;16;11;7.704166667;3.425;83.55416667;0.533333333
CVDL;1612;16;12;3.741935484;2.443548387;88.09274194;0.108870968
CVDL;1701;17;1;1.919354839;2.89516129;83.5483871;0.157258065
CVDL;1702;17;2;7.089285714;3.584821429;79.125;0.258928571
CVDL;1703;17;3;10.06048387;3.487903226;75.41129032;0.431451613
CVDL;1704;17;4;10.44583333;2.8;62.47916667;0.166666667
CVDL;1705;17;5;15.79435484;3.024193548;71.36290323;0.495967742
CVDL;1706;17;6;20.57083333;3.154166667;63.79166667;0.4625
CVDL;1707;17;7;20.67741935;3.209677419;66.98790323;0.362903226
CVDL;1708;17;8;20.25403226;2.737903226;66.80241935;0.370967742
CVDL;1709;17;9;15.26666667;2.745833333;73.36666667;0.566666667
CVDL;1710;17;10;13.47580645;2.584677419;81.06048387;0.181451613
CVDL;1711;17;11;7.091666667;2.725;85.225;0.379166667
CVDL;1712;17;12;5.350806452;3.806451613;88.61290323;0.411290323
CVDL;1801;18;1;7.903225806;4.258064516;89.89919355;0.754032258
CVDL;1802;18;2;2.066964286;3.3125;79.02678571;0.397321429
CVDL;1803;18;3;7.504032258;3.870967742;75.13306452;0.564516129
CVDL;1804;18;4;13.20416667;3.016666667;69.75416667;0.383333333
CVDL;1805;18;5;15.97580645;2.439516129;70.8266129;0.330645161
CVDL;1806;18;6;19.7125;2.925;65.08333333;0.504166667
CVDL;1807;18;7;23.01209677;2.342741935;56.51612903;0.415322581
CVDL;1808;18;8;21.73790323;2.588709677;56.81854839;0.100806452
CVDL;1809;18;9;18.12916667;2.525;58.68333333;0.108333333
CVDL;1810;18;10;13.60483871;3.004032258;73.08870968;0.241935484
CVDL;1811;18;11;8.2125;3.35;85.99166667;0.454166667
CVDL;1812;18;12;6.846774194;3.947580645;89.375;0.379032258
CVDL;1901;19;1;3.955645161;2.951612903;87.66532258;0.310483871
CVDL;1902;19;2;7.388392857;3.008928571;75.35714286;0.102678571
CVDL;1903;19;3;9.467741935;4.153225806;69.08064516;0.282258065
CVDL;1904;19;4;11.15;3.233333333;66.5875;0.258333333
CVDL;1905;19;5;13.29032258;3.10483871;70.21774194;0.322580645
CVDL;1906;19;6;19.90833333;3.095833333;65.45416667;0.45
CVDL;1907;19;7;23.08467742;3.060483871;51.33870968;0.028225806
CVDL;1908;19;8;21.57258065;2.689516129;56.19758065;0.161290323
CVDL;1909;19;9;17.575;3.2375;61.59166667;0.166666667
CVDL;1910;19;10;13.83467742;3.576612903;82.9516129;0.754032258
CVDL;1911;19;11;8.083333333;3.854166667;88.47083333;0.6875
CVDL;1912;19;12;7.262096774;4.064516129;87.20564516;0.540322581
CVDL;2001;20;1;6.782258065;3.306451613;85.33064516;0.25
CVDL;2002;20;2;8.732758621;4.771551724;79.19396552;0.469827586
CVDL;2003;20;3;8.858870968;3.875;70.89112903;0.338709677
CVDL;2004;20;4;14.2125;2.8375;62.15833333;0.229166667
CVDL;2005;20;5;16.38306452;3.314516129;63.24596774;0.342741935
CVDL;2006;20;6;17.73333333;3.141666667;69.77916667;0.570833333
CVDL;2007;20;7;21.30241935;2.77016129;54.0766129;0.028225806
